,Unnamed: 0,d_p,dd_p,n_p,dn_p,z_p,z uncertainty [μm],v [μm / s],timestamp [s],symmetry,label
174,174,1.0653,0.0396,1.4322,0.0062,67.3975,0.2368,2883.8491,24.4832,0,monomer
176,176,0.9927,0.0333,1.4451,0.0087,81.8617,0.3197,3693.7823,24.5631,0,monomer
177,177,1.7789,0.0989,1.376,0.0093,56.1573,0.1312,1870.6178,24.6497,1,dimer
179,179,1.5162,0.1309,1.3934,0.0251,88.0829,0.2132,2513.7,25.0094,1,dimer
181,181,1.3852,0.0572,1.3805,0.0083,66.9095,0.3271,2927.3319,25.1359,0,dimer
182,182,1.1025,0.0286,1.4253,0.0066,76.5536,0.1625,3168.2143,25.1693,0,monomer
186,186,1.1053,0.0406,1.4166,0.0105,72.1318,0.2534,3501.6669,25.7288,0,monomer
188,188,1.0146,0.0291,1.4401,0.0095,73.1108,0.1516,3260.4374,26.0618,0,monomer
189,189,1.7802,0.0459,1.3787,0.0034,59.9708,0.34,2235.2291,26.1951,1,dimer
190,190,0.7993,0.0773,1.3852,0.0352,65.6752,0.2777,2684.4349,26.1951,1,extra
191,191,0.9694,0.0269,1.4407,0.0085,59.5479,0.267,2033.8497,26.3016,0,monomer
192,192,1.3741,0.073,1.4166,0.0148,80.4727,0.2615,2876.3266,26.3283,0,dimer
193,193,1.05,0.0257,1.4415,0.0082,90.4243,0.1859,1868.1936,26.3749,0,monomer
195,195,0.993,0.0347,1.4416,0.0072,76.7118,0.2785,2814.1035,26.5481,0,monomer
196,196,1.1141,0.0294,1.4261,0.005,65.5941,0.1464,2874.5215,26.8945,1,monomer
197,197,1.1063,0.0304,1.4187,0.0044,87.0385,0.216,2369.7239,27.121,0,monomer
198,198,1.1116,0.0543,1.4139,0.0077,89.8821,0.2779,1925.8665,27.2342,0,monomer
199,199,1.5311,0.1169,1.3908,0.0092,87.68,0.4834,1900.8104,27.5473,0,dimer
202,202,1.0691,0.0419,1.4307,0.0054,68.7746,0.2024,3221.0748,27.8004,0,monomer
203,203,1.0371,0.0328,1.4482,0.0116,68.9417,0.1829,3261.375,27.8071,0,monomer
204,204,1.5525,0.0998,1.42,0.0207,69.4871,0.3865,3198.1687,27.8803,1,dimer
206,206,1.0727,0.0574,1.443,0.0186,55.4374,0.1318,1451.5244,27.9869,1,monomer
207,207,0.9541,0.0334,1.4688,0.0089,70.6489,0.1674,3082.8625,28.0335,0,monomer
208,208,1.046,0.0258,1.4338,0.0089,64.298,0.1633,2513.4982,28.25,0,monomer
210,210,1.1334,0.0275,1.4286,0.007,91.9215,0.313,1572.3112,28.5731,0,monomer
211,211,1.3277,0.0267,1.4216,0.0046,70.5721,0.169,3356.6088,28.8529,0,dimer
212,212,1.8139,0.1184,1.3782,0.0232,54.7094,0.2798,1509.1019,28.8862,1,dimer
213,213,1.6384,0.0969,1.3795,0.0073,84.1407,0.4283,2626.1232,29.1326,1,dimer
214,214,0.9958,0.0204,1.4481,0.0042,59.4658,0.3186,2062.8289,29.1726,0,monomer
217,217,1.671,0.0338,1.4069,0.0054,75.4172,0.267,3509.4433,29.9853,0,dimer
219,219,1.0734,0.0403,1.425,0.0111,75.275,0.1879,3273.3844,30.0985,0,monomer
220,220,1.8226,0.0304,1.3732,0.001,84.4612,0.2154,2793.632,30.2051,1,dimer
221,221,1.7769,0.024,1.3737,0.0018,70.9074,0.1631,3268.1912,30.2184,1,dimer
222,222,1.0064,0.0233,1.4407,0.0048,79.0799,0.1935,3238.3524,30.2317,0,monomer
225,225,1.0389,0.0173,1.4279,0.006,89.3138,0.1718,2034.038,30.5182,0,monomer
226,226,1.6663,0.0615,1.4084,0.0067,69.7875,0.2411,2681.6315,30.8112,0,dimer
227,227,1.8078,0.0222,1.3733,0.0007,58.0418,0.2646,1753.996,30.8779,1,dimer
228,228,1.1676,0.0536,1.4772,0.0159,78.1253,0.154,3411.3846,31.111,0,dimer
229,229,1.1148,0.0367,1.4214,0.0059,66.8991,0.2103,2998.776,31.2176,0,monomer
231,231,0.7284,0.041,1.4327,0.0185,66.1146,0.2754,2897.8572,31.3175,1,extra
232,232,0.9995,0.0494,1.4447,0.0159,63.6644,0.3367,2684.7174,31.3508,0,monomer
233,233,1.0206,0.0071,1.4391,0.0028,53.2146,0.1561,930.1973,31.4174,0,monomer
234,234,1.0866,0.0388,1.4283,0.011,83.9533,0.203,2690.6502,31.3841,0,monomer
236,236,1.3735,0.0953,1.4185,0.015,67.9556,0.14,3043.9745,32.4765,1,dimer
238,238,1.7838,0.0583,1.3786,0.0043,59.4464,0.235,2194.3928,32.5831,1,dimer
240,240,1.8011,0.0395,1.406,0.0052,80.1175,0.2273,2980.3923,32.703,0,dimer
242,242,0.7228,0.0956,1.3736,0.0062,65.3337,0.1762,2782.82,33.489,1,extra
243,243,1.5499,0.1399,1.4448,0.0171,64.0027,0.3439,2884.9696,33.4957,1,dimer
246,246,1.7288,0.1018,1.3783,0.009,81.9736,0.4107,2867.5226,34.5082,0,dimer
247,247,1.4792,0.0145,1.4124,0.0038,54.672,0.15,1270.2644,34.6481,0,dimer
248,248,0.9785,0.023,1.4563,0.0093,69.2622,0.2124,3096.6864,34.6148,0,monomer
249,249,1.0586,0.0198,1.4461,0.0061,53.5321,0.1255,1024.1649,34.6814,0,monomer
250,250,0.7056,0.1105,1.3982,0.0407,65.4657,0.2417,2572.3865,34.9412,0,extra
251,251,0.7469,0.0613,1.3988,0.0238,59.9767,0.173,1840.8059,35.1277,0,extra
252,252,1.5332,0.1333,1.3984,0.0232,61.71,0.1922,2656.4398,35.3941,0,dimer
253,253,1.8409,0.0475,1.3772,0.0036,60.9334,0.1555,2481.7854,35.5007,0,dimer
255,255,0.9951,0.0242,1.4526,0.008,81.9152,0.1648,2907.2968,35.8804,0,monomer
256,256,1.0766,0.0322,1.4242,0.0089,67.7116,0.1914,2719.0045,36.0203,0,monomer
257,257,1.0761,0.0174,1.4345,0.005,82.628,0.201,2486.6977,36.2734,0,monomer
259,259,0.9245,0.1235,1.3667,0.0505,61.9063,0.2008,2531.7755,36.693,1,extra
260,260,1.7712,0.0483,1.3827,0.0035,60.4446,0.2379,2300.7989,36.7064,1,dimer
261,261,1.0857,0.0539,1.4336,0.0097,77.8768,0.2682,3248.5028,36.7064,0,monomer
263,263,1.0084,0.0237,1.4371,0.0057,95.1387,0.249,1271.5068,37.1726,0,monomer
264,264,1.8414,0.018,1.3709,0.0014,66.3962,0.2131,2780.5696,37.3592,1,dimer
266,266,1.0576,0.0309,1.4349,0.0082,69.9931,0.1851,3349.5822,37.4258,0,monomer
267,267,0.9869,0.0216,1.4505,0.0059,82.5113,0.1549,3269.1851,37.4924,0,monomer
268,268,1.855,0.0513,1.3749,0.0019,70.5079,0.2314,2828.6612,38.0453,1,dimer
269,269,1.0413,0.0304,1.4375,0.007,89.6822,0.1583,2121.2228,38.1119,0,monomer
270,270,1.5333,0.0965,1.3784,0.0084,66.9257,0.3377,2696.9298,38.1185,0,dimer
271,271,1.7395,0.1288,1.3766,0.023,87.6147,0.3999,2154.9111,38.3117,0,dimer
272,272,1.0354,0.0524,1.4367,0.0145,70.0482,0.1721,2694.2399,38.325,0,monomer
273,273,1.0684,0.0316,1.4285,0.0086,70.032,0.2042,3470.9112,38.5049,0,monomer
274,274,1.042,0.0069,1.4347,0.0017,65.3751,0.1584,3020.9848,38.6181,0,monomer
276,276,1.094,0.0345,1.4346,0.0064,64.4657,0.1313,2628.9995,38.9978,0,monomer
277,277,1.0798,0.0503,1.4254,0.01,87.8996,0.3139,2321.9713,39.0045,0,monomer
279,279,1.175,0.048,1.4216,0.0112,71.6661,0.091,2871.1606,39.4108,0,monomer
280,280,1.0031,0.0355,1.4478,0.0094,73.2756,0.1802,2939.6956,39.4108,0,monomer
282,282,1.0485,0.0203,1.436,0.0054,66.1069,0.1992,2982.9895,39.917,0,monomer
283,283,0.9929,0.0165,1.4535,0.0041,56.8402,0.1745,1710.1463,39.997,0,monomer
284,284,1.0382,0.029,1.4337,0.0076,83.3429,0.2514,2817.8092,40.2901,0,monomer
285,285,0.9987,0.0216,1.4424,0.0082,88.4381,0.0943,2745.7043,40.7364,0,monomer
286,286,1.11,0.0442,1.4258,0.0072,58.6193,0.1724,2085.6894,40.8363,0,monomer
287,287,1.1175,0.0427,1.4248,0.0081,83.9171,0.1879,2937.203,40.9029,0,monomer
288,288,1.0604,0.0249,1.4314,0.0042,82.7953,0.2187,3048.7172,40.9429,0,monomer
289,289,1.1506,0.0615,1.4203,0.018,91.4859,3.0871,1828.7653,41.2759,0,monomer
291,291,1.0845,0.0182,1.4255,0.0045,56.8758,0.166,1507.2822,41.3692,0,monomer
292,292,1.0553,0.0368,1.4327,0.0065,89.9828,0.2812,2439.2694,41.7089,0,monomer
293,293,1.0709,0.0282,1.4358,0.0081,71.1168,0.1757,3334.4476,41.9087,0,monomer
294,294,0.9842,0.0281,1.4484,0.0085,63.46,0.086,2436.7841,42.395,0,monomer
296,296,1.0397,0.0189,1.437,0.0056,59.4906,0.1407,2194.1351,42.9212,0,monomer
297,297,0.9606,0.033,1.4496,0.0102,77.3142,0.1605,3557.1586,42.9146,0,monomer
298,298,1.0396,0.0433,1.4404,0.0062,88.0696,0.2274,4512.4592,43.0844,0,monomer
299,299,1.4777,0.1481,1.4009,0.0222,49.8276,0.2998,709.4013,43.221,0,dimer
300,300,1.0979,0.0606,1.4255,0.012,82.2287,0.1028,5243.4225,43.1777,0,monomer
301,301,1.0846,0.0335,1.4309,0.0126,66.9387,0.3308,3736.4436,43.7272,0,monomer
302,302,1.0317,0.0338,1.435,0.0103,69.6668,0.274,4770.17,43.8238,0,monomer
303,303,1.0594,0.0285,1.4392,0.0058,87.8164,0.2352,3837.5181,43.8538,0,monomer
304,304,1.0584,0.0233,1.4279,0.0033,67.7553,0.1772,4317.8342,43.9337,0,monomer
305,305,1.0625,0.0122,1.4277,0.0029,79.2699,0.3635,4114.2807,44.047,0,monomer
306,306,1.093,0.0267,1.4283,0.0053,81.519,0.2517,4105.6368,44.047,0,monomer
309,309,1.0163,0.0221,1.4557,0.0094,63.3431,0.1995,3388.5496,44.1535,0,monomer
311,311,0.9382,0.0288,1.4549,0.0094,84.9764,0.2018,3539.9771,44.2668,0,monomer
312,312,1.7452,0.1013,1.3899,0.0066,80.2761,0.4424,3728.3105,44.3534,0,dimer
313,313,1.181,0.0486,1.4457,0.0142,83.5856,0.2248,3193.7026,44.4133,0,dimer
314,314,1.0672,0.0207,1.4335,0.0052,70.712,0.2149,3344.8305,44.5665,0,monomer
315,315,1.7811,0.0507,1.3906,0.0039,78.7127,0.161,3186.1626,44.7197,0,dimer
316,316,1.8288,0.0483,1.372,0.0014,82.4621,0.1359,2923.571,44.7264,1,dimer
317,317,1.1271,0.0206,1.4263,0.0054,74.8255,0.2086,3244.5663,44.753,0,monomer
318,318,1.0238,0.0476,1.4373,0.0136,89.1234,0.2361,2251.971,44.8063,0,monomer
319,319,0.9303,0.0481,1.4538,0.0142,73.5715,0.0463,3238.3019,45.1993,0,monomer
320,320,1.141,0.0273,1.4188,0.0051,87.9756,0.1763,2448.584,45.2993,0,monomer
321,321,1.0822,0.0344,1.4245,0.0072,72.051,0.1888,3210.3402,45.2959,0,monomer
323,323,1.0244,0.0321,1.4405,0.0058,76.6587,0.1272,3076.523,45.5257,0,monomer
324,324,1.7769,0.1126,1.3825,0.0155,89.9259,0.2236,2073.1228,45.9187,0,dimer
325,325,1.0608,0.0147,1.4343,0.0059,54.2001,0.1746,1205.7513,46.0719,0,monomer
326,326,0.9537,0.0137,1.4561,0.0054,64.139,0.1475,2878.693,46.0853,0,monomer
327,327,1.0806,0.0308,1.4238,0.0072,77.2143,0.1853,3368.3179,46.1985,0,monomer
330,330,1.0325,0.0166,1.4352,0.0046,60.7757,0.2008,2526.5321,47.1244,0,monomer
331,331,1.8749,0.0211,1.371,0.0011,61.7223,0.1635,2517.1083,47.4575,0,dimer
334,334,1.1221,0.0343,1.4174,0.0062,78.2386,0.1282,2906.3008,47.8838,0,monomer
336,336,0.9793,0.0619,1.4422,0.012,66.1715,0.1205,2983.9847,48.1702,0,monomer
337,337,1.119,0.0602,1.4258,0.0285,76.1042,0.1845,3403.1915,48.2701,0,monomer
338,338,1.1211,0.0678,1.4227,0.0151,90.8015,0.2257,2001.7361,48.3101,0,monomer
339,339,1.0072,0.0288,1.4542,0.007,65.0698,0.1578,2697.7849,48.6498,0,monomer
340,340,0.7038,0.0857,1.387,0.0236,65.0344,0.2841,2690.4625,48.7098,1,extra
341,341,1.7651,0.0501,1.3812,0.004,57.7257,0.0349,1694.3638,48.9163,0,dimer
342,342,1.0869,0.0297,1.4276,0.0086,87.2334,0.2145,2124.9314,49.0228,0,monomer
343,343,1.0237,0.059,1.4402,0.0106,87.4428,0.2927,2302.4869,49.5757,0,monomer
345,345,1.4588,0.0704,1.4026,0.0115,81.5491,0.2442,2620.4986,50.1419,0,dimer
346,346,0.8248,0.1915,1.3615,0.1164,47.9668,3.1829,2501.8754,50.6948,1,extra
348,348,0.9901,0.0231,1.4439,0.0031,87.1339,0.4515,2801.7335,51.3143,0,monomer
349,349,1.0079,0.031,1.4404,0.0081,57.4704,0.156,1810.5251,51.5541,0,monomer
350,350,1.259,0.2525,1.4564,0.0336,83.1704,4.7654,2642.7633,51.6007,1,dimer
353,353,1.356,0.1413,1.375,0.033,58.0805,0.2101,1916.7907,52.6265,0,dimer
354,354,1.0289,0.032,1.4346,0.0061,89.8058,0.3288,2200.3717,52.6998,0,monomer
355,355,1.0564,0.0341,1.4266,0.0076,72.1912,0.2265,3245.6133,52.7331,0,monomer
357,357,1.0501,0.0239,1.4322,0.005,86.1529,0.159,2439.1259,53.0662,0,monomer
358,358,1.063,0.0397,1.435,0.0151,67.6705,0.2148,2646.0921,53.1461,0,monomer
359,359,1.0742,0.0412,1.4271,0.0088,68.3177,0.19,2655.2491,53.226,0,monomer
362,362,1.053,0.0266,1.435,0.0065,64.1676,0.1926,2879.6846,53.4925,0,monomer
364,364,1.0875,0.0105,1.4284,0.0031,63.3169,0.235,2635.807,53.6457,0,monomer
365,365,1.1167,0.0413,1.4074,0.0061,63.5754,0.2447,2662.1699,53.699,0,monomer
367,367,1.4928,0.0247,1.4221,0.0028,71.6446,0.1672,3085.1305,53.9321,0,dimer
368,368,1.028,0.0293,1.4402,0.0061,66.0511,0.1331,2565.5263,54.0986,0,monomer
370,370,1.5833,0.0933,1.3856,0.0113,68.2361,0.2116,2622.933,54.3451,0,dimer
372,372,1.0788,0.0589,1.4307,0.0182,82.9321,0.2235,2947.2867,54.6382,0,monomer
374,374,1.0273,0.0232,1.4292,0.0076,57.2086,0.1129,1504.9971,55.291,0,monomer
376,376,1.0663,0.022,1.4268,0.0035,57.698,0.2823,2047.61,55.6174,0,monomer
377,377,1.6846,0.0601,1.3827,0.005,66.6805,0.3205,3070.5866,55.6507,0,dimer
378,378,1.0696,0.081,1.4342,0.029,77.0835,0.1338,3127.3916,55.8705,0,monomer
379,379,1.8763,0.1079,1.3773,0.01,61.8004,0.1331,2413.1138,56.077,1,dimer
381,381,1.5526,0.096,1.4308,0.0094,70.1563,0.2793,2758.0344,56.4833,0,dimer
382,382,1.4903,0.0174,1.431,0.0022,70.6478,0.4612,2676.7955,56.49,1,dimer
383,383,1.0365,0.0202,1.4309,0.006,62.2502,0.287,2114.6924,56.5633,0,monomer
385,385,1.8677,0.0473,1.3759,0.0036,67.4734,0.194,2628.2691,57.5624,0,dimer
386,386,1.3346,0.0793,1.4191,0.0146,77.4281,0.1066,3303.1245,57.7423,0,dimer
387,387,1.1574,0.0145,1.4819,0.0075,74.4036,0.1253,3414.4845,57.7956,0,dimer
388,388,1.0453,0.0308,1.4311,0.004,74.6082,0.3684,3372.7683,57.8622,0,monomer
389,389,1.0737,0.0298,1.423,0.0077,71.7029,0.203,3175.8604,57.9621,0,monomer
391,391,1.7755,0.1273,1.3765,0.0162,59.4239,0.4423,2050.5982,58.3418,1,dimer
392,392,1.1387,0.0582,1.4297,0.0103,69.3661,0.2019,2932.7047,58.3351,0,monomer
393,393,0.724,0.099,1.3873,0.0325,64.4942,0.197,2418.8302,58.6016,1,extra
395,395,1.1226,0.0254,1.4153,0.005,78.6825,0.1648,3420.7775,58.8081,0,monomer
396,396,1.0567,0.0329,1.4307,0.0061,78.5409,0.1321,2950.8089,59.3743,0,monomer
397,397,1.1205,0.0246,1.4194,0.0048,67.5503,0.1679,2733.1263,59.4609,0,monomer
400,400,0.998,0.0211,1.4528,0.0044,72.7132,0.1934,3414.3695,60.0937,0,monomer
401,401,1.0494,0.0452,1.4257,0.0126,84.1166,0.2408,2856.5106,60.1403,0,monomer
